json_index,id,shortcode,image_id,image_path,label,caption,description,comments,tags,location_name,combined_text,likes,comments_count,is_video,timestamp,owner_id,video_view_count
307,1852342543155403164,Bm017qXHxmc,39915885_1559649040848445_4530413473271644160_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39915885_1559649040848445_4530413473271644160_n.jpg,1,"Pav Bhaji ➡️ If you've been to Maharashtra or live here and haven't had a pav bhaji then you are missing out on one of the most delicious street food delicacies! Originating from the streets of Mumbai, you are lucky that this dish is not only available now in Mumbai but can be relished at multiple places all over India! 😍 Here's a shot of it from @memrfoody !
.
↪️Tag us and add #twofullforfood
to get featured on @absolutefoodies .
.
.
.
#pavbhaji #mumbaistreetfood #pavbhajilove #pavbhajilover #pavbhajilovers #pavbhajimasala #yummyfood #mrfoody #mrfoodyborivali #mumbaifoodie #borivalifoodie #butterlove #onions #pav #utterlybutterlydelicious  #foodologist #absolutefoodies #eatwithus #streetfoodindia #streetfoodasia #nomnomnom #maharashtrianfood #classicfood #streetfood",,,#mumbaistreetfood #mrfoody #twofullforfood #mumbaifoodie #nomnomnom #classicfood #mrfoodyborivali #streetfoodasia #borivalifoodie #onions #pav #pavbhajilove #streetfoodindia #eatwithus #pavbhajimasala #maharashtrianfood #foodologist #yummyfood #pavbhajilover #pavbhajilovers #absolutefoodies #utterlybutterlydelicious #streetfood #pavbhaji #butterlove,Mr Foody,"Pav Bhaji ➡️ If you've been to Maharashtra or live here and haven't had a pav bhaji then you are missing out on one of the most delicious street food delicacies! Originating from the streets of Mumbai, you are lucky that this dish is not only available now in Mumbai but can be relished at multiple places all over India! 😍 Here's a shot of it from @memrfoody !
.
↪️Tag us and add #twofullforfood
to get featured on @absolutefoodies .
.
.
.
#pavbhaji #mumbaistreetfood #pavbhajilove #pavbhajilover #pavbhajilovers #pavbhajimasala #yummyfood #mrfoody #mrfoodyborivali #mumbaifoodie #borivalifoodie #butterlove #onions #pav #utterlybutterlydelicious  #foodologist #absolutefoodies #eatwithus #streetfoodindia #streetfoodasia #nomnomnom #maharashtrianfood #classicfood #streetfood #mumbaistreetfood #mrfoody #twofullforfood #mumbaifoodie #nomnomnom #classicfood #mrfoodyborivali #streetfoodasia #borivalifoodie #onions #pav #pavbhajilove #streetfoodindia #eatwithus #pavbhajimasala #maharashtrianfood #foodologist #yummyfood #pavbhajilover #pavbhajilovers #absolutefoodies #utterlybutterlydelicious #streetfood #pavbhaji #butterlove Mr Foody",537,117,False,1535036460,7703553836,0
180,1853561092107084760,Bm5K_4ghyPY,39045722_256263605024107_3466065743475376128_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39045722_256263605024107_3466065743475376128_n.jpg,1,"Some pavbhaji, and bara pav
.
Breakfast! .
Just craving for these😊
.
Loc:Gupta brothers
.
Follow  @bongdating_food  @bongdating_food  @bongdating_food . . .  #eveningsnacks #eveninggown #event #foodevent #rainyseason #rainyday #foodblogger #foodie #like4follow #followforfollowback #pav #bhaji #bara #pavbhaji",,,#eveninggown #bhaji #foodblogger #followforfollowback #foodie #event #like4follow #pavbhaji #foodevent #pav #rainyseason #rainyday #bara #eveningsnacks,,"Some pavbhaji, and bara pav
.
Breakfast! .
Just craving for these😊
.
Loc:Gupta brothers
.
Follow  @bongdating_food  @bongdating_food  @bongdating_food . . .  #eveningsnacks #eveninggown #event #foodevent #rainyseason #rainyday #foodblogger #foodie #like4follow #followforfollowback #pav #bhaji #bara #pavbhaji #eveninggown #bhaji #foodblogger #followforfollowback #foodie #event #like4follow #pavbhaji #foodevent #pav #rainyseason #rainyday #bara #eveningsnacks",18,0,False,1535181722,2277310621,0
156,1853720204220255005,Bm5vLRNg0sd,39715827_329131217631253_7633397318791725056_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39715827_329131217631253_7633397318791725056_n.jpg,1,"Pav bhaji always makes me drool and last night at @courtyardchennai , i had one of the best pav bhajis i have ever tasted in my life 🤤
.
.
.
Do not miss 'Taste of Chennai 2.0', hosted by @courtyardchennai 's Paprika Cafe if you are a street food fan 😍 .
.
.
#pavbhaji #paprikacafe #courtyardmarriott #thehungrychennaite #myonlinefoodjournal #blogger #foodblogger #chennaiblogger #chennaifoodscenes #chennaifoodie #chennaifoodblogger #streetfood #indian #tasteofchennai #foodgram",,,#paprikacafe #indian #foodgram #tasteofchennai #myonlinefoodjournal #foodblogger #chennaifoodie #courtyardmarriott #blogger #pavbhaji #streetfood #chennaifoodscenes #chennaiblogger #chennaifoodblogger #thehungrychennaite,Paprika,"Pav bhaji always makes me drool and last night at @courtyardchennai , i had one of the best pav bhajis i have ever tasted in my life 🤤
.
.
.
Do not miss 'Taste of Chennai 2.0', hosted by @courtyardchennai 's Paprika Cafe if you are a street food fan 😍 .
.
.
#pavbhaji #paprikacafe #courtyardmarriott #thehungrychennaite #myonlinefoodjournal #blogger #foodblogger #chennaiblogger #chennaifoodscenes #chennaifoodie #chennaifoodblogger #streetfood #indian #tasteofchennai #foodgram #paprikacafe #indian #foodgram #tasteofchennai #myonlinefoodjournal #foodblogger #chennaifoodie #courtyardmarriott #blogger #pavbhaji #streetfood #chennaifoodscenes #chennaiblogger #chennaifoodblogger #thehungrychennaite Paprika",156,1,False,1535200690,4696234524,0
141,1853779364199801963,Bm58oKPFCRr,39371745_1879105248805938_6366169021993189376_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39371745_1879105248805938_6366169021993189376_n.jpg,1,"Cheese Pav Bhaji at Amar Juice Center.
.
Food:- 4/5
Service:-4/5
.
.
#livetoeatbombay #lteb #mumbaifood #mumbai #mumbailocal #pavbhaji #vegeterian #foodlove #spicy #mumbaispecial #juhu #nomnom",,,#nomnom #foodlove #mumbaifood #mumbaispecial #mumbai #vegeterian #mumbailocal #pavbhaji #spicy #livetoeatbombay #juhu #lteb,Amar Juice Center,"Cheese Pav Bhaji at Amar Juice Center.
.
Food:- 4/5
Service:-4/5
.
.
#livetoeatbombay #lteb #mumbaifood #mumbai #mumbailocal #pavbhaji #vegeterian #foodlove #spicy #mumbaispecial #juhu #nomnom #nomnom #foodlove #mumbaifood #mumbaispecial #mumbai #vegeterian #mumbailocal #pavbhaji #spicy #livetoeatbombay #juhu #lteb Amar Juice Center",830,16,False,1535207742,1336407553,0
330,1852233621325198821,Bm0dKpAH7Xl,39083197_1634823873312919_5306999038481006592_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\0\39083197_1634823873312919_5306999038481006592_n.jpg,0,"Cafée_mh05 #pavbhaji #cheeselovers *pav_bhaji_cheese_toast* #evening #sancks
#Yammmmee #test££££ #Badlapur #cafe_mh05Roksss",,,#Badlapur #cheeselovers #evening #sancks #pavbhaji #Yammmmee #cafe_mh05Roksss #test,,"Cafée_mh05 #pavbhaji #cheeselovers *pav_bhaji_cheese_toast* #evening #sancks
#Yammmmee #test££££ #Badlapur #cafe_mh05Roksss #Badlapur #cheeselovers #evening #sancks #pavbhaji #Yammmmee #cafe_mh05Roksss #test",21,3,False,1535023475,1620076457,0
137,1853800034810879191,Bm6BU9PglzX,39531992_177604963051146_2431465416732704768_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\0\39531992_177604963051146_2431465416732704768_n.jpg,0,"#jinidosa 
A shot taken while preparing the dosa!! Stuffed with mix veggies, semi cooked in our secret sauces and packed with #flavor. It's absolutely #delicious is what we keep hearing! 
Be here to relish the amazing varieties of #mumbaiflavours 🍴

#pavbhaji #chennaifoodie #chennai_trendies #foodblogger #foodislife #nammachennai #loveforfood #chennaidiaries📒💕 #newhangout #annanagar #shenoynagar #desifood #food #chennaiblogger #dosas #streetfood #blogger",,,#foodblogger #blogger #delicious #chennai_trendies #newhangout #loveforfood #shenoynagar #flavor #chennaiblogger #desifood #jinidosa #chennaidiaries #chennaifoodie #annanagar #foodislife #food #dosas #streetfood #pavbhaji #nammachennai #mumbaiflavours,"Shenoy Nagar, Tamil Nadu, India","#jinidosa 
A shot taken while preparing the dosa!! Stuffed with mix veggies, semi cooked in our secret sauces and packed with #flavor. It's absolutely #delicious is what we keep hearing! 
Be here to relish the amazing varieties of #mumbaiflavours 🍴

#pavbhaji #chennaifoodie #chennai_trendies #foodblogger #foodislife #nammachennai #loveforfood #chennaidiaries📒💕 #newhangout #annanagar #shenoynagar #desifood #food #chennaiblogger #dosas #streetfood #blogger #foodblogger #blogger #delicious #chennai_trendies #newhangout #loveforfood #shenoynagar #flavor #chennaiblogger #desifood #jinidosa #chennaidiaries #chennaifoodie #annanagar #foodislife #food #dosas #streetfood #pavbhaji #nammachennai #mumbaiflavours Shenoy Nagar, Tamil Nadu, India",114,6,False,1535210206,8292537747,0
303,1852354336689348310,Bm04nR8hd7W,39894771_541170119653885_56720847733204642_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\0\39894771_541170119653885_56720847733204642_n.jpg,0,#gadbadicecream #falooda #cutlet #gobimanchurian #pavbhaji,,,#gobimanchurian #gadbadicecream #pavbhaji #cutlet #falooda,Ideal Cafe,#gadbadicecream #falooda #cutlet #gobimanchurian #pavbhaji #gobimanchurian #gadbadicecream #pavbhaji #cutlet #falooda Ideal Cafe,23,0,False,1535037866,3133556334,0
370,1851766877355661858,BmyzCnznloi,38831028_1872913219458849_1550982552523636736_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\38831028_1872913219458849_1550982552523636736_n.jpg,1,"Pav Bhaji & Malai Kofta ~ Choolah

A thick and spiced vegetable mash garnished with onion and cilantro served on buttered and toasted buns & fried potato and vegetable croquettes mixed in a curry sauce with rice 😅
.
.
.
.
.
.
#vegetarian #veggies #veggie #veggiefood #veggielover #vegetables #vegetariansofig #indian #indianfood #foodie #veggiefood #pavbhaji #malaikofta #choolah #pittsburgh #pittsburgheats #pittsburghfoodie #412 #foodphotography #foodphoto",,,#vegetables #foodphoto #foodphotography #pittsburgh #veggiefood #pittsburghfoodie #foodie #veggie #vegetarian #vegetariansofig #indianfood #pavbhaji #malaikofta #choolah #indian #pittsburgheats #veggielover #412 #veggies,Choolaah Indian Bbq-Pgh,"Pav Bhaji & Malai Kofta ~ Choolah

A thick and spiced vegetable mash garnished with onion and cilantro served on buttered and toasted buns & fried potato and vegetable croquettes mixed in a curry sauce with rice 😅
.
.
.
.
.
.
#vegetarian #veggies #veggie #veggiefood #veggielover #vegetables #vegetariansofig #indian #indianfood #foodie #veggiefood #pavbhaji #malaikofta #choolah #pittsburgh #pittsburgheats #pittsburghfoodie #412 #foodphotography #foodphoto #vegetables #foodphoto #foodphotography #pittsburgh #veggiefood #pittsburghfoodie #foodie #veggie #vegetarian #vegetariansofig #indianfood #pavbhaji #malaikofta #choolah #indian #pittsburgheats #veggielover #412 #veggies Choolaah Indian Bbq-Pgh",27,4,False,1534967835,8372950881,0
425,1850661967725760904,Bmu30EhnpGI,39110952_310940116323975_8596836235077484544_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39110952_310940116323975_8596836235077484544_n.jpg,1,"📍Rama Krishna, Lonavla, Maharashtra || If this picture doesn’t wanna make you go to your closest fast food restaurant, I don’t know what will 🤷🏻‍♀️ // Santosh Sagar at Nepeansea Road is my go-to for masala pav and pav bhaji! What’s yours? ❤️ #TheUnclichéd #ThatFayLife #PavBhaji #StreetEats #FoodGasm",,,#StreetEats #FoodGasm #TheUnclichéd #ThatFayLife #PavBhaji,Rama Krishna Restaurant,"📍Rama Krishna, Lonavla, Maharashtra || If this picture doesn’t wanna make you go to your closest fast food restaurant, I don’t know what will 🤷🏻‍♀️ // Santosh Sagar at Nepeansea Road is my go-to for masala pav and pav bhaji! What’s yours? ❤️ #TheUnclichéd #ThatFayLife #PavBhaji #StreetEats #FoodGasm #StreetEats #FoodGasm #TheUnclichéd #ThatFayLife #PavBhaji Rama Krishna Restaurant",578,8,False,1534836120,3524476874,0
63,1854787807638675647,Bm9h68YB2C_,39364491_314794352431234_2370010872882921472_n.jpg,C:\Coding\projects\pavbhaji_model\machinelearningchallenge\dataset\dataset\images\1\39364491_314794352431234_2370010872882921472_n.jpg,1,"Pav Bhaji💕
.
.
.
.
#pavbhaji #pavbhaji😋 #pavbhajifondue #foodpics #foodcoma #foodlove #foods #foodlover #foodswag #dinner #dinnerideas #dinner_time #dinner😋 #dinner_time #foody #snacks",,,#foodlove #foodlover #foods #pavbhajifondue #dinner #foodcoma #pavbhaji #foody #dinner_time #dinnerideas #foodpics #snacks #foodswag,,"Pav Bhaji💕
.
.
.
.
#pavbhaji #pavbhaji😋 #pavbhajifondue #foodpics #foodcoma #foodlove #foods #foodlover #foodswag #dinner #dinnerideas #dinner_time #dinner😋 #dinner_time #foody #snacks #foodlove #foodlover #foods #pavbhajifondue #dinner #foodcoma #pavbhaji #foody #dinner_time #dinnerideas #foodpics #snacks #foodswag",18,2,False,1535327958,8473145331,0
