json_index,id,shortcode,image_id,image_path,label,caption,description,comments,tags,location_name,combined_text,likes,comments_count,is_video,timestamp,owner_id,video_view_count
0,1834712933156555738,Bl2NbElnIva,,,,"TAG A PAV BHAJI FANATIC 😋😍 PC @exploringplates For more food updates follow @ekplate To get featured tag us on your pictures ❤ .
.
#ekplate #nomnom #nom #delhi_igers #eeeeeats #foodaholic #foodblogger #foodphotography #foodcoma #foodgram #things2doinmumbai #foodblog #foodgasm #foodlove #india  #foodie #yummy  #bombay #mumbai #delhi #pune  #bangalore #streetfood  #ekplatepavbhaji #butter #vadapav #pavbhaji #mumbaifood",,,#vadapav #foodgram #foodphotography #foodblogger #mumbai #foodaholic #foodie #foodcoma #ekplate #foodlove #things2doinmumbai #foodblog #nomnom #pune #india #butter #yummy #nom #eeeeeats #ekplatepavbhaji #mumbaifood #bombay #streetfood #pavbhaji #bangalore #delhi #delhi_igers #foodgasm,,"TAG A PAV BHAJI FANATIC 😋😍 PC @exploringplates For more food updates follow @ekplate To get featured tag us on your pictures ❤ .
.
#ekplate #nomnom #nom #delhi_igers #eeeeeats #foodaholic #foodblogger #foodphotography #foodcoma #foodgram #things2doinmumbai #foodblog #foodgasm #foodlove #india  #foodie #yummy  #bombay #mumbai #delhi #pune  #bangalore #streetfood  #ekplatepavbhaji #butter #vadapav #pavbhaji #mumbaifood #vadapav #foodgram #foodphotography #foodblogger #mumbai #foodaholic #foodie #foodcoma #ekplate #foodlove #things2doinmumbai #foodblog #nomnom #pune #india #butter #yummy #nom #eeeeeats #ekplatepavbhaji #mumbaifood #bombay #streetfood #pavbhaji #bangalore #delhi #delhi_igers #foodgasm",3797,52,True,1532934873,1919686029,0
1,1826000656302706137,BlXQewejY3Z,,,,"देसी स्टाइल पाव भाजी/Desi Style Paav Bhaji 🇮🇳 ❤️ 🏠 ❤️🏠❤️🏠❤️🏠❤️
_______
Good Afternoon Instafamily ❤️
_______
क्या आप को पाव भाजी पसन्द हैं?😍
लाइक एंड कॉमेंट करके बतायें😋😍
_______
Ingredients:
_______
8-10 Potatoes
1 Cauliflower 
2-3 Carrot
1 Cup Peas
3 Cups Water
4 tbsp oil
1 tbsp Ginger Garlic Paste
2 Onions - Finely Chopped 
3 Tomatoes - Finaly Chopped 
1 tbsp Red Chilli Powder 
1 tbsp Kashmiri Red Chilli
2-3 tbsp Pav Bhaji Masala
Salt to Taste
Coriander to Garnish
_______
Recipe:
_______
- Pressure cook roughly chopped potatoes, cauliflower, carrot & peas with 3 cups of water to 3 whistles. - Mash the boiled veggies & keep them aside. - Heat oil in a wok. - Add ginger garlic paste & cook till aroma fades away. - Add onions & cook till turn light brown. - Add tomatoes & cook till corner leaves oil. - Add red chilli powder, kashmiri chilli powder, pav bhaji masala & mix. - Add mashed veggies & salt.  Mix and cook for 7-8 mints. * Adjust consistency by adding water. - Stir & mash veggies in between. - Garnish with coriander.
- Serve hot with pav.
______
______
Follow me @sofaridabad for more homemade food updates and please Turn “ON” the post Notification.
Use #sofaridabad to get featured on my Page ❤️ 🇮🇳 _____
#pavbhaji #streetstyle #homemadewithlove #homecooked #cooking #streetfood #mumbaifoodie #views #eat #tastyfood #favourite #dish #carrot #vegetarian #vegetables #healthylifestyle #healthyfood #sokolkata #chennaifoodie #indianfoodbloggers #incredibile #india #eeeeeats #20likes #foodorgasm #foodfood #faridabad #instalove ❤️
_____
@foodiesince96 @delhi_eats @myfoodproject @nomnom24x7 @iamdatingfood @therawtextures  @sanjeevkapoor @foodiecouple_parvan @foodieincarnate @sodelhi  @foodtalkindia @eattreat @zingyzest @thisisdelhi @chefkunal @vikaskhannagroup ❤️",,,#healthyfood #sokolkata #mumbaifoodie #faridabad #indianfoodbloggers #incredibile #vegetarian #carrot #dish #cooking #streetstyle #homemadewithlove #views #india #chennaifoodie #favourite #eeeeeats #instalove #tastyfood #vegetables #eat #homecooked #streetfood #pavbhaji #foodfood #foodorgasm #sofaridabad #20likes #healthylifestyle,Faridabad,"देसी स्टाइल पाव भाजी/Desi Style Paav Bhaji 🇮🇳 ❤️ 🏠 ❤️🏠❤️🏠❤️🏠❤️
_______
Good Afternoon Instafamily ❤️
_______
क्या आप को पाव भाजी पसन्द हैं?😍
लाइक एंड कॉमेंट करके बतायें😋😍
_______
Ingredients:
_______
8-10 Potatoes
1 Cauliflower 
2-3 Carrot
1 Cup Peas
3 Cups Water
4 tbsp oil
1 tbsp Ginger Garlic Paste
2 Onions - Finely Chopped 
3 Tomatoes - Finaly Chopped 
1 tbsp Red Chilli Powder 
1 tbsp Kashmiri Red Chilli
2-3 tbsp Pav Bhaji Masala
Salt to Taste
Coriander to Garnish
_______
Recipe:
_______
- Pressure cook roughly chopped potatoes, cauliflower, carrot & peas with 3 cups of water to 3 whistles. - Mash the boiled veggies & keep them aside. - Heat oil in a wok. - Add ginger garlic paste & cook till aroma fades away. - Add onions & cook till turn light brown. - Add tomatoes & cook till corner leaves oil. - Add red chilli powder, kashmiri chilli powder, pav bhaji masala & mix. - Add mashed veggies & salt.  Mix and cook for 7-8 mints. * Adjust consistency by adding water. - Stir & mash veggies in between. - Garnish with coriander.
- Serve hot with pav.
______
______
Follow me @sofaridabad for more homemade food updates and please Turn “ON” the post Notification.
Use #sofaridabad to get featured on my Page ❤️ 🇮🇳 _____
#pavbhaji #streetstyle #homemadewithlove #homecooked #cooking #streetfood #mumbaifoodie #views #eat #tastyfood #favourite #dish #carrot #vegetarian #vegetables #healthylifestyle #healthyfood #sokolkata #chennaifoodie #indianfoodbloggers #incredibile #india #eeeeeats #20likes #foodorgasm #foodfood #faridabad #instalove ❤️
_____
@foodiesince96 @delhi_eats @myfoodproject @nomnom24x7 @iamdatingfood @therawtextures  @sanjeevkapoor @foodiecouple_parvan @foodieincarnate @sodelhi  @foodtalkindia @eattreat @zingyzest @thisisdelhi @chefkunal @vikaskhannagroup ❤️ #healthyfood #sokolkata #mumbaifoodie #faridabad #indianfoodbloggers #incredibile #vegetarian #carrot #dish #cooking #streetstyle #homemadewithlove #views #india #chennaifoodie #favourite #eeeeeats #instalove #tastyfood #vegetables #eat #homecooked #streetfood #pavbhaji #foodfood #foodorgasm #sofaridabad #20likes #healthylifestyle Faridabad",12041,325,True,1531897016,1445587278,0
2,1849962218902145720,BmsYtYpjkq4,,,,"Pav Bhaji😍😍😋
.
Follow @street_food_chandigarh And use #streetfoodchandigarh .
.
#picoftheday  #foodholic #delhigram #instashot #soogood #mumbaipeople  #nom#delhiflavours #feedfeed  #foodphotography #eeeeats #nomnom #chessy #pull #pavbhaji  #foodtalkindia #sodelicious #sodelhi #tastyfood #delhiboy  #chickenislife #mumbaifood  #therawtextures  #foodiesince96 #foodgasm #vascom #foodlover",,,#foodphotography #mumbaipeople #vascom #delhiboy #pull #instashot #streetfoodchandigarh #foodlover #soogood #therawtextures #chickenislife #nomnom #foodiesince96 #delhiflavours #eeeeats #nom #tastyfood #picoftheday #mumbaifood #foodgasm #delhigram #feedfeed #pavbhaji #foodholic #chessy #foodtalkindia #sodelicious #sodelhi,"Chandigarh, India","Pav Bhaji😍😍😋
.
Follow @street_food_chandigarh And use #streetfoodchandigarh .
.
#picoftheday  #foodholic #delhigram #instashot #soogood #mumbaipeople  #nom#delhiflavours #feedfeed  #foodphotography #eeeeats #nomnom #chessy #pull #pavbhaji  #foodtalkindia #sodelicious #sodelhi #tastyfood #delhiboy  #chickenislife #mumbaifood  #therawtextures  #foodiesince96 #foodgasm #vascom #foodlover #foodphotography #mumbaipeople #vascom #delhiboy #pull #instashot #streetfoodchandigarh #foodlover #soogood #therawtextures #chickenislife #nomnom #foodiesince96 #delhiflavours #eeeeats #nom #tastyfood #picoftheday #mumbaifood #foodgasm #delhigram #feedfeed #pavbhaji #foodholic #chessy #foodtalkindia #sodelicious #sodelhi Chandigarh, India",3544,18,True,1534752790,4759392841,0
3,1828963273137213680,BlhyGgalFDw,,,,"Asli Makhan Pav bhaji 😍😋
Tag someone who loves it 😍😍❤️
.
.
#Where - @creamcentrenagpur > Fine Dine Restaurant 😋
> Good place for vegetarians 😍
> Located at the prime location of the city 👍🏼
.
.
#satisfying #pavbhaji #loveit😍 .
- 
Follow @misscravingbuster 
@misscravingbuster 
@misscravingbuster 
@misscravingbuster - .
.
.
#misscravingbuster #pavbhaji #creamcentrenagpur #creamcentre #nagpur #delhi #mumbai #viralvideos #nagpurfoodblogger #foodforfoodie #foodblogger #foodislove #foodislife #foodforever #instagood #besmartnloveall #rockingindians #foodvideo #plixoo #thepost4today #plixooblogger #likeforlike #vforveggie #veganpost #zingyzest - .
.
.
@thegreatindianfoodie @justdelhiing @insiderdessert @bestfood_aroundtheworld @eattreat @saadidilli @delhi_eats @dilli_ke_pakwan @nomnom24x7 @saadidilli @bruisedpassports @khau_gali_foodie @foodiebaniya @plixxo @popxoyum @v_for_veggie @tastemade @taste_eat_ @devourpower @thisisinsiderfood @foodbeast @foodtalkindia @foodyfetish @zingyzest @foodnetwork @trellingfood @bbcgoodfood @noleftovers @trellingnagpur @whatdillieats @food_lunatic @foodofmumbai @poojadhingra",,,#foodvideo #misscravingbuster #foodblogger #mumbai #vforveggie #foodforfoodie #foodislove #rockingindians #likeforlike #Where #plixoo #creamcentre #creamcentrenagpur #nagpurfoodblogger #zingyzest #nagpur #foodforever #viralvideos #besmartnloveall #plixooblogger #thepost4today #veganpost #foodislife #instagood #satisfying #loveit #pavbhaji #delhi,Nagpur,"Asli Makhan Pav bhaji 😍😋
Tag someone who loves it 😍😍❤️
.
.
#Where - @creamcentrenagpur > Fine Dine Restaurant 😋
> Good place for vegetarians 😍
> Located at the prime location of the city 👍🏼
.
.
#satisfying #pavbhaji #loveit😍 .
- 
Follow @misscravingbuster 
@misscravingbuster 
@misscravingbuster 
@misscravingbuster - .
.
.
#misscravingbuster #pavbhaji #creamcentrenagpur #creamcentre #nagpur #delhi #mumbai #viralvideos #nagpurfoodblogger #foodforfoodie #foodblogger #foodislove #foodislife #foodforever #instagood #besmartnloveall #rockingindians #foodvideo #plixoo #thepost4today #plixooblogger #likeforlike #vforveggie #veganpost #zingyzest - .
.
.
@thegreatindianfoodie @justdelhiing @insiderdessert @bestfood_aroundtheworld @eattreat @saadidilli @delhi_eats @dilli_ke_pakwan @nomnom24x7 @saadidilli @bruisedpassports @khau_gali_foodie @foodiebaniya @plixxo @popxoyum @v_for_veggie @tastemade @taste_eat_ @devourpower @thisisinsiderfood @foodbeast @foodtalkindia @foodyfetish @zingyzest @foodnetwork @trellingfood @bbcgoodfood @noleftovers @trellingnagpur @whatdillieats @food_lunatic @foodofmumbai @poojadhingra #foodvideo #misscravingbuster #foodblogger #mumbai #vforveggie #foodforfoodie #foodislove #rockingindians #likeforlike #Where #plixoo #creamcentre #creamcentrenagpur #nagpurfoodblogger #zingyzest #nagpur #foodforever #viralvideos #besmartnloveall #plixooblogger #thepost4today #veganpost #foodislife #instagood #satisfying #loveit #pavbhaji #delhi Nagpur",1388,91,True,1532249632,4628040416,0
4,1852265507774756954,Bm0kapkn3ha,,,,Tag a Pav bhaji lover 👇🏻 😋😋,,,,,Tag a Pav bhaji lover 👇🏻 😋😋,223,14,True,1535027282,7798081590,0
5,1832586415315989324,Blup6KhHbNM,,,,"Because the weather calls for a delicious plate of buttery Pav Bhaji with onions and chutney 😍
•••
#justdelhiing
Follow @justdelhiing for more such updates🍴
•
#delhidiaries #delhi #delhifoodie @grubzon #foodstalker #omnomnom #eeeeeats @lbbdelhincr #f52grams @eattreat #ifoundawesome #delhigram #sodelhi @sodelhi #vadapav #pavbhaji #indianfood #foodtalkindia @saadidilli",,,#vadapav #foodstalker #ifoundawesome #delhifoodie #delhigram #omnomnom #delhidiaries #pavbhaji #delhi #justdelhiing #foodtalkindia #f52grams #indianfood #sodelhi #eeeeeats,Pradeep Bombay Ki Mashoor Pav Bhaji & Pulao,"Because the weather calls for a delicious plate of buttery Pav Bhaji with onions and chutney 😍
•••
#justdelhiing
Follow @justdelhiing for more such updates🍴
•
#delhidiaries #delhi #delhifoodie @grubzon #foodstalker #omnomnom #eeeeeats @lbbdelhincr #f52grams @eattreat #ifoundawesome #delhigram #sodelhi @sodelhi #vadapav #pavbhaji #indianfood #foodtalkindia @saadidilli #vadapav #foodstalker #ifoundawesome #delhifoodie #delhigram #omnomnom #delhidiaries #pavbhaji #delhi #justdelhiing #foodtalkindia #f52grams #indianfood #sodelhi #eeeeeats Pradeep Bombay Ki Mashoor Pav Bhaji & Pulao",1459,21,True,1532681453,1904147898,0
6,1843720796403142266,BmWNku-nA56,,,,"Masala Pav ka Bhai Masala Bread 😛 trust me it was soooo good 😍
Just make sure u eat this super hot 😘
.
.
.
• Heat Oil, Add Jeera N Hing
• Once Jeera Crackles, Add Chopped Onions and chopped Chillies.
• Saute, Add Capsicum
• Saute Till Onions Turns Golden Brown
• Add Tomatoes, Ginger Garlic Paste
• Salt To Taste
• 5 spoons of water
• Add Masalas - Kashmiri Chilli Powder + Regular Chilli Powder, Pav Bhaji Masala and Garama Masala
• Saute, Let The Whole Mixture Cook Nicly
• Add One Full Spoon Butter ;)
• The Mixture Should Get Dry Before Adding The Bread Cubes
• Stir Fry Bread Cubes Gently • Turn Off The Gas... Squeeze Lemon Juice and Sprinkle Coriander Leaves.
• Serve Super Hottttt
.
Have u ever tried this?? It was my first time and I totally loved it 😘
.
Bye.... Enjoy your weekend guys 😘🤗
.
.
.
.
.
.
All rights reserved to @veeni_saumil_shah
@veeni_saumil_shah
Thank u :)
#masalabread #masalapav #pavbhaji #homecooked #soulfood #soulsatisfying #foodcoma #eatingforinsta #foodofig #foodphoto #foodvideos #foodvideography #foodphotography @veeni_saumil_shah #easyrecipes #easytocook #instagood #eatfamous #mumbaifoodlovers #mumbaifoodies @veeni_saumil_shah #mumbaifoodie #mumbaistyle #amchimumbai #streetfood #mumbaistreetfood #delhistreetfood #streetstyle #sugarspiceniceindia #veenisaumilshah 
@things2doinmumbai @saumilrameshshah @jatin1986 @connoiseur_couple @ndtv_food @buzzfeedfood @somumbai @sodelhi @grubzon @therawtextures",,,#mumbaistreetfood #veenisaumilshah #foodphotography #mumbaistyle #foodcoma #mumbaifoodie #mumbaifoodies #masalapav #foodofig #foodvideos #easytocook #streetstyle #eatfamous #foodvideography #mumbaifoodlovers #sugarspiceniceindia #masalabread #eatingforinsta #amchimumbai #instagood #foodphoto #soulfood #delhistreetfood #homecooked #streetfood #pavbhaji #soulsatisfying #easyrecipes,,"Masala Pav ka Bhai Masala Bread 😛 trust me it was soooo good 😍
Just make sure u eat this super hot 😘
.
.
.
• Heat Oil, Add Jeera N Hing
• Once Jeera Crackles, Add Chopped Onions and chopped Chillies.
• Saute, Add Capsicum
• Saute Till Onions Turns Golden Brown
• Add Tomatoes, Ginger Garlic Paste
• Salt To Taste
• 5 spoons of water
• Add Masalas - Kashmiri Chilli Powder + Regular Chilli Powder, Pav Bhaji Masala and Garama Masala
• Saute, Let The Whole Mixture Cook Nicly
• Add One Full Spoon Butter ;)
• The Mixture Should Get Dry Before Adding The Bread Cubes
• Stir Fry Bread Cubes Gently • Turn Off The Gas... Squeeze Lemon Juice and Sprinkle Coriander Leaves.
• Serve Super Hottttt
.
Have u ever tried this?? It was my first time and I totally loved it 😘
.
Bye.... Enjoy your weekend guys 😘🤗
.
.
.
.
.
.
All rights reserved to @veeni_saumil_shah
@veeni_saumil_shah
Thank u :)
#masalabread #masalapav #pavbhaji #homecooked #soulfood #soulsatisfying #foodcoma #eatingforinsta #foodofig #foodphoto #foodvideos #foodvideography #foodphotography @veeni_saumil_shah #easyrecipes #easytocook #instagood #eatfamous #mumbaifoodlovers #mumbaifoodies @veeni_saumil_shah #mumbaifoodie #mumbaistyle #amchimumbai #streetfood #mumbaistreetfood #delhistreetfood #streetstyle #sugarspiceniceindia #veenisaumilshah 
@things2doinmumbai @saumilrameshshah @jatin1986 @connoiseur_couple @ndtv_food @buzzfeedfood @somumbai @sodelhi @grubzon @therawtextures #mumbaistreetfood #veenisaumilshah #foodphotography #mumbaistyle #foodcoma #mumbaifoodie #mumbaifoodies #masalapav #foodofig #foodvideos #easytocook #streetstyle #eatfamous #foodvideography #mumbaifoodlovers #sugarspiceniceindia #masalabread #eatingforinsta #amchimumbai #instagood #foodphoto #soulfood #delhistreetfood #homecooked #streetfood #pavbhaji #soulsatisfying #easyrecipes",6611,85,True,1534008865,4092170525,0
7,1853065230240657065,Bm3aQJKHy6p,,,,"•All the pav bhaji lovers, don't forget to like the video.
•Easy street style pav bhaji video recipe.
•Do follow me for more food updates, till then keep eating!❤ ▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪
Follow @eatwithashlaysha for more food updates and use hashtag #eatwithashlaysha to get featured.
•Turn the post notification on📣
•FOLLOW .LIKE .SHARE .COMMENT💬
•Tag your friends👥
▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪ #pavbhaji#mumbaipavbhaji#streetfood#streetpavbhaji#pawbhaji#pavbhajirecipe#mumbai#mumbaifood#mumbaiker#foodporn#followforfood#siliguri#siligurifoodies#foodblogger#indianfoodblogger#foodies#foodlover#foodphotography#homecook#vegetarianrecipes#indianhomecook#gharkakhana#homemade#foodgasm#indianfoodlover#foodishappiness#foodieness#eatwithashlaysha",,,#vegetarianrecipes #foodphotography #indianfoodlover #foodblogger #mumbai #eatwithashlaysha #mumbaipavbhaji #foodishappiness #foodlover #mumbaiker #foodieness #foodporn #followforfood #siligurifoodies #pawbhaji #pavbhajirecipe #indianfoodblogger #indianhomecook #streetpavbhaji #homecook #mumbaifood #siliguri #streetfood #pavbhaji #foodies #foodgasm #homemade #gharkakhana,Siliguri,"•All the pav bhaji lovers, don't forget to like the video.
•Easy street style pav bhaji video recipe.
•Do follow me for more food updates, till then keep eating!❤ ▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪
Follow @eatwithashlaysha for more food updates and use hashtag #eatwithashlaysha to get featured.
•Turn the post notification on📣
•FOLLOW .LIKE .SHARE .COMMENT💬
•Tag your friends👥
▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪ #pavbhaji#mumbaipavbhaji#streetfood#streetpavbhaji#pawbhaji#pavbhajirecipe#mumbai#mumbaifood#mumbaiker#foodporn#followforfood#siliguri#siligurifoodies#foodblogger#indianfoodblogger#foodies#foodlover#foodphotography#homecook#vegetarianrecipes#indianhomecook#gharkakhana#homemade#foodgasm#indianfoodlover#foodishappiness#foodieness#eatwithashlaysha #vegetarianrecipes #foodphotography #indianfoodlover #foodblogger #mumbai #eatwithashlaysha #mumbaipavbhaji #foodishappiness #foodlover #mumbaiker #foodieness #foodporn #followforfood #siligurifoodies #pawbhaji #pavbhajirecipe #indianfoodblogger #indianhomecook #streetpavbhaji #homecook #mumbaifood #siliguri #streetfood #pavbhaji #foodies #foodgasm #homemade #gharkakhana Siliguri",228,19,True,1535122819,8197631687,0
8,1847973777256052008,BmlUlwDlXUo,,,,"'Pav Bhaji Fondue'

Rich, smooth & creamy pav bhaji fondue. Perfect for all the chaat lovers 👄

Go kill your pav bhaji cravings now🔫

Video Credits 📷 : @theclichekitchen
Location: Dum Maro Dum, New Delhi 
Cost for 2: 1000 approx.
Open till: 12noon-1am

#MumbaiCravings #food #foodies #foodforlife #pavbhaji #fondue #foodblog #foodie #repost #lovefood #foodgasm #mumbaistreetfood #delhifood #delhi #igers #igersdaily #igersfood #foodporn #mumbai #mumbaifood #mumbaikar #mumbailife #instagram  #share #keepeating",,,#mumbaistreetfood #repost #mumbai #foodie #MumbaiCravings #share #lovefood #igersdaily #keepeating #foodporn #foodblog #delhifood #igersfood #mumbailife #fondue #mumbaifood #instagram #food #pavbhaji #foodforlife #delhi #igers #foodies #foodgasm #mumbaikar,Dum Maro Dum - DMD,"'Pav Bhaji Fondue'

Rich, smooth & creamy pav bhaji fondue. Perfect for all the chaat lovers 👄

Go kill your pav bhaji cravings now🔫

Video Credits 📷 : @theclichekitchen
Location: Dum Maro Dum, New Delhi 
Cost for 2: 1000 approx.
Open till: 12noon-1am

#MumbaiCravings #food #foodies #foodforlife #pavbhaji #fondue #foodblog #foodie #repost #lovefood #foodgasm #mumbaistreetfood #delhifood #delhi #igers #igersdaily #igersfood #foodporn #mumbai #mumbaifood #mumbaikar #mumbailife #instagram  #share #keepeating #mumbaistreetfood #repost #mumbai #foodie #MumbaiCravings #share #lovefood #igersdaily #keepeating #foodporn #foodblog #delhifood #igersfood #mumbailife #fondue #mumbaifood #instagram #food #pavbhaji #foodforlife #delhi #igers #foodies #foodgasm #mumbaikar Dum Maro Dum - DMD",1301,16,True,1534516077,2616908714,0
9,1855260515926239263,Bm_NZwRl2gf,,,,"Some Mumbai Street food.
The coloured bottles are for #gola
The famous #Pav #bhaji and #cheese#pavbhaji #yolo#mumbai#streetfood #streetfoodindia#streetfoodmumbai #foodie#foodiesofinstagram##yolo#solo #solotravel #mumbai#chowpatty #india#travel#walking#walkingtour",,,#walkingtour #Pav #chowpatty #bhaji #india #mumbai #travel #walking #foodie #gola #pavbhaji #yolo #streetfood #foodiesofinstagram #solo #solotravel #cheese #streetfoodindia #streetfoodmumbai,Girgaum Chowpatty,"Some Mumbai Street food.
The coloured bottles are for #gola
The famous #Pav #bhaji and #cheese#pavbhaji #yolo#mumbai#streetfood #streetfoodindia#streetfoodmumbai #foodie#foodiesofinstagram##yolo#solo #solotravel #mumbai#chowpatty #india#travel#walking#walkingtour #walkingtour #Pav #chowpatty #bhaji #india #mumbai #travel #walking #foodie #gola #pavbhaji #yolo #streetfood #foodiesofinstagram #solo #solotravel #cheese #streetfoodindia #streetfoodmumbai Girgaum Chowpatty",6,1,False,1535384309,3287550401,0
